Al,Co ,Cr,Cu,Fe,Mn,Mo,Nb,Ta,Ti,Si,W,Ni,Temp,K
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0,0.1,0,1.5,63.45,25,11.2
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0,0.1,0,1.5,63.45,100,12.1
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0,0.1,0,1.5,63.45,200,13.4
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0,0.1,0,1.5,63.45,300,14.8
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0,0.1,0,1.5,63.45,400,16.3
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0,0.1,0,1.5,63.45,500,17.9
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0,0.1,0,1.5,63.45,600,19.6
0,20,21,0,30,1.5,3,1,0,0,0.5,2.5,20.5,200,14.6
0,20,21,0,30,1.5,3,1,0,0,0.5,2.5,20.5,300,15.9
0,20,21,0,30,1.5,3,1,0,0,0.5,2.5,20.5,400,17.3
0,20,21,0,30,1.5,3,1,0,0,0.5,2.5,20.5,500,18.6
0,20,21,0,30,1.5,3,1,0,0,0.5,2.5,20.5,600,20
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,25,9.3
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,100,10.5
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,200,11.9
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,300,13.5
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,400,14.9
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,500,16.4
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,600,17.5
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,25,10.9
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,100,12
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,200,13.6
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,300,15.4
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,400,17.6
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,500,19.9
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,600,21.8
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,700,24.7
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,800,26.1
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,900,26.9
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,1000,28.7
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,1100,31.1
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,1200,32.9
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,25,10
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,100,12
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,200,14
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,300,16
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,400,18
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,500,19
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,600,23
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,25,9.1
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,100,10.8
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,200,12.6
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,300,14.1
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,400,16.1
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,500,18
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,600,21.6
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,25,11.8
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,100,13.5
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,200,15.4
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,300,17.1
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,400,18.6
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,500,20.5
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,600,22.4
0.5,0.5,18,0,19,0.2,3,2.5,2.5,0.9,0.2,0,52.7,25,11.4
0.5,0.5,18,0,19,0.2,3,2.5,2.5,0.9,0.2,0,52.7,100,12.6
0.5,0.5,18,0,19,0.2,3,2.5,2.5,0.9,0.2,0,52.7,200,14.3
0.5,0.5,18,0,19,0.2,3,2.5,2.5,0.9,0.2,0,52.7,300,15.9
0.5,0.5,18,0,19,0.2,3,2.5,2.5,0.9,0.2,0,52.7,400,17.5
0.5,0.5,18,0,19,0.2,3,2.5,2.5,0.9,0.2,0,52.7,500,19
0.5,0.5,18,0,19,0.2,3,2.5,2.5,0.9,0.2,0,52.7,600,20.6
0.5,0.5,18,0,19,0.2,3,2.5,2.5,0.9,0.2,0,52.7,700,22.2
0.5,0.5,18,0,19,0.2,3,2.5,2.5,0.9,0.2,0,52.7,800,23.8
0.5,0.5,18,0,19,0.2,3,2.5,2.5,0.9,0.2,0,52.7,900,25.4
0.5,0.5,18,0,19,0.2,3,2.5,2.5,0.9,0.2,0,52.7,1000,27.1
